PATERNITY;FIRST_LAST_NAME;PASSENGER_SEX;PASSENGER_BIRTH_DATE;PASSENGER_DOCUMENT;BOOKING_CODE;TICKET_NUMBER;BAGGAGE;DEPARTURE_DATE;DEPARTURE_TIME;FLIGHT_NUMBER;CODE_SHARE;FLIGHT_TO;AGE;FLIGHTS_QUANTITY
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;FOWFJE;120000000000000;Delayed;12.01.2017;15:50;SU5613;Own;KHABAROVSK;46;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;RIWCDE;2900000000000000;Delayed;04.03.2017;20:30;SU5640;Own;KRASNOYARSK;46;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;LTOZUQ;368000000000000;Registered;05.03.2017;21:35;SU1487;Own;MOSCOW;46;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;JLDUGM;4330000000000000;Transit;17.07.2017;16:35;SU5602;Own;KHABAROVSK;47;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;LHSKXY;2930000000000000;NULL;02.05.2017;13:50;SU4606;Operated;OKHA;46;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;NULL;6120000000000000;NULL;19.02.2017;12:10;SU4606;Operated;KHABAROVSK;46;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;NULL;4380000000000000;Delayed;19.06.2017;9:50;SU5620;Own;YUZHNO;47;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;NULL;3600000000000000;NULL;04.05.2017;12:10;SU4606;Operated;KHABAROVSK;46;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;XTCWQK;None;NULL;04.04.2017;18:30;SU6289;Own;MAGADAN;46;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;KWMJTP;None;Transit;16.01.2017;14:20;SU4605;Operated;OKHA;46;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;NULL;None;Delayed;08.04.2017;15:50;SU5613;Own;KHABAROVSK;46;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;NULL;None;Registered;29.05.2017;12:10;SU4606;Operated;KHABAROVSK;47;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;FQNDXV;None;Delayed;26.07.2017;12:00;SU6282;Own;MOSCOW;47;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;ZWXXTE;None;Delayed;25.05.2017;14:20;SU4605;Operated;OKHA;47;16
ANATOLEVNA;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;WZBMUR;8600000000000000;Transit;21.07.2017;0:10;SU5619;Own;VLADIVOSTOK;47;16
A;MAIIA BARANOVA;Female;22.05.1970;1 548 113 497;SZQLLO;2710000000000000;Registered;05.07.2017;16:25;SU5607;Own;VLADIVOSTOK;47;16
ROSTISLAVOVICH;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;9430000000000000;Registered;30.06.2017;7:05;SU4130;Operated;YUZHNO;24;15
R;TIKHON GONCHAROV;Male;07.11.1992;7 126 372 174;NULL;4500000000000000;NULL;01.02.2017;9:00;SU4599;Operated;NOGLIKI;24;15
